time(s),voltage_0,voltage_1
0.44666666,0.0,994.0
0.4475,2.0,1121.0
0.44833332,0.0,1216.0
0.44916666,1.0,1298.0
0.45,3.0,1379.0
0.45083332,0.0,1456.0
0.45166665,0.0,1520.0
0.4525,0.0,1568.0
0.45333335,2.0,1617.0
0.45416668,0.0,1666.0
0.455,1.0,1696.0
0.45583335,0.0,1744.0
0.45666668,0.0,1776.0
0.4575,0.0,1792.0
0.45833334,2.0,1825.0
0.45916668,0.0,1840.0
0.46,2.0,1857.0
0.46083334,0.0,1874.0
0.46166667,3.0,1889.0
0.4625,0.0,1904.0
0.46333334,2.0,1921.0
0.46416667,0.0,1936.0
0.465,0.0,1936.0
0.46583334,0.0,1952.0
0.46666667,0.0,1952.0
0.4675,0.0,1968.0
0.46833333,0.0,1968.0
0.46916667,0.0,1970.0
0.47,3.0,1985.0
0.47083333,0.0,1986.0
0.47166666,1.0,1984.0
0.4725,0.0,1986.0
0.47333333,3.0,1985.0
0.47416666,0.0,2000.0
0.475,0.0,2000.0
0.47583333,0.0,2000.0
0.47666666,2.0,2001.0
0.4775,0.0,2002.0
0.47833332,3.0,2001.0
0.47916666,0.0,2016.0
0.48,0.0,2000.0
0.48083332,0.0,2016.0
0.48166665,0.0,2016.0
0.4825,0.0,2016.0
0.48333332,0.0,2016.0
0.48416665,0.0,2016.0
0.485,0.0,2016.0
0.48583335,0.0,2018.0
0.48666668,1.0,2016.0
0.4875,0.0,2018.0
0.48833334,1.0,2016.0
0.48916668,0.0,2018.0
0.49,1.0,2016.0
0.49083334,0.0,2018.0
0.49166667,1.0,2016.0
0.4925,0.0,2018.0
0.49333334,1.0,2016.0
0.49416667,0.0,2016.0
0.495,2.0,2017.0
0.49583334,0.0,2016.0
0.49666667,2.0,2017.0
0.4975,0.0,2016.0
0.49833333,2.0,2017.0
0.49916667,0.0,2016.0
