time(s),voltage_2
0.45166665,241.0
0.4525,242.0
0.45333335,226.0
0.45416668,225.0
0.455,208.0
0.45583335,208.0
0.45666668,194.0
0.4575,193.0
0.45833334,176.0
0.45916668,178.0
0.46,163.0
0.46083334,163.0
0.46166667,145.0
0.4625,146.0
0.46333334,145.0
0.46416667,144.0
0.465,128.0
0.46583334,130.0
0.46666667,115.0
0.4675,115.0
0.46833333,115.0
0.46916667,113.0
0.47,112.0
0.47083333,98.0
0.47166666,99.0
0.4725,99.0
0.47333333,96.0
0.47416666,82.0
0.475,83.0
0.47583333,83.0
0.47666666,80.0
0.4775,66.0
0.47833332,67.0
0.47916666,67.0
0.48,65.0
0.48083332,66.0
0.48166665,65.0
0.4825,48.0
0.48333332,51.0
0.48416665,51.0
0.485,51.0
0.48583335,49.0
0.48666668,49.0
0.4875,48.0
0.48833334,48.0
0.48916668,48.0
0.49,35.0
0.49083334,35.0
0.49166667,35.0
0.4925,33.0
0.49333334,33.0
0.49416667,34.0
0.495,33.0
0.49583334,32.0
0.49666667,19.0
0.4975,19.0
0.49833333,19.0
0.49916667,19.0
0.5,19.0
0.50083333,19.0
0.50166667,19.0
0.5025,17.0
0.50333333,18.0
0.50416666,17.0
0.505,18.0
0.5058333,19.0
0.50666666,16.0
0.5075,16.0
0.5083333,16.0
0.50916666,16.0
0.51,3.0
0.5108333,3.0
0.51166666,3.0
0.5125,3.0
0.5133333,3.0
0.51416665,3.0
0.515,3.0
0.5158333,3.0
0.51666665,3.0
0.5175,1.0
0.5183333,2.0
0.51916665,1.0
0.52,2.0
0.5208333,3.0
0.52166665,1.0
0.5225,0.0
0.5233333,1.0
0.52416664,2.0
0.525,1.0
0.5258333,2.0
0.52666664,1.0
0.5275,2.0
0.5283333,1.0
0.52916664,2.0
0.53,1.0
0.5308333,2.0
0.5316667,1.0
0.5325,0.0
0.53333336,1.0
0.5341667,2.0
0.535,1.0
0.53583336,0.0
0.5366667,0.0
0.5375,0.0
0.53833336,0.0
0.5391667,0.0
0.54,0.0
0.54083335,0.0
0.5416667,0.0
0.5425,0.0
0.54333335,0.0
0.5441667,0.0
0.545,0.0
0.54583335,0.0
0.5466667,0.0
0.5475,0.0
0.54833335,0.0
0.5491667,0.0
0.55,0.0
0.55083334,0.0
0.5516667,0.0
0.5525,0.0
0.55333334,0.0
0.5541667,0.0
0.555,0.0
0.55583334,0.0
0.5566667,0.0
0.5575,0.0
0.55833334,0.0
0.55916667,0.0
0.56,0.0
0.56083333,0.0
0.56166667,0.0
0.5625,0.0
0.56333333,0.0
0.56416667,0.0
0.565,0.0
0.56583333,0.0
